10 500 1 1
0 0 0 0 0.0319998
0 0 1 0 0.0614466
0 0 2 0 0.0623874
0 0 3 0 0.103268
0 0 4 0 -0.0255942
0 0 5 0 -0.0123685
0 0 6 0 0.0905234
0 0 7 0 -0.0150548
0 0 8 0 -0.155599
0 0 9 0 -0.0971713
0 0 10 0 0.0359277
0 0 11 0 -0.0605485
0 0 12 0 0.038137
0 0 13 0 -0.105154
0 0 14 0 0.0134579
0 0 15 0 0.0958524
0 0 16 0 -0.0702768
0 0 17 0 0.00189028
0 0 18 0 -0.0404762
0 0 19 0 0.0431873
0 0 20 0 0.030875
0 0 21 0 -0.0498427
0 0 22 0 0.0373746
0 0 23 0 -0.0114791
0 0 24 0 0.0558997
0 0 25 0 0.0235222
0 0 26 0 -0.0431608
0 0 27 0 -0.0334777
0 0 28 0 -0.011218
0 0 29 0 0.0527582
0 0 30 0 -0.0152047
0 0 31 0 -0.0270292
0 0 32 0 -0.0356982
0 0 33 0 -0.0033105
0 0 34 0 0.0798911
0 0 35 0 -0.0947478
0 0 36 0 0.00348518
0 0 37 0 -0.103161
0 0 38 0 -0.0842925
0 0 39 0 -0.0347575
0 0 40 0 0.0245531
0 0 41 0 -0.181026
0 0 42 0 0.0119842
0 0 43 0 0.0634177
0 0 44 0 -0.0280552
0 0 45 0 -0.00348674
0 0 46 0 0.00375479
0 0 47 0 0.0879771
0 0 48 0 0.165559
0 0 49 0 -0.022174
0 0 50 0 -0.0421652
0 0 51 0 -0.0360406
0 0 52 0 0.0453973
0 0 53 0 0.00941758
0 0 54 0 -0.0278987
0 0 55 0 0.0376061
0 0 56 0 -0.0569297
0 0 57 0 -0.145628
0 0 58 0 -0.0289824
0 0 59 0 -0.0231871
0 0 60 0 0.0117888
0 0 61 0 0.0643266
0 0 62 0 0.044073
0 0 63 0 -0.00279308
0 0 64 0 0.125574
0 0 65 0 -0.0650738
0 0 66 0 0.154137
0 0 67 0 -0.0559698
0 0 68 0 -0.1092
0 0 69 0 -0.016537
0 0 70 0 0.0137905
0 0 71 0 -0.0605334
0 0 72 0 -0.0976882
0 0 73 0 -0.00259844
0 0 74 0 0.0753835
0 0 75 0 -0.0931435
0 0 76 0 -0.0445072
0 0 77 0 -0.0479154
0 0 78 0 -0.00860109
0 0 79 0 -0.0479341
0 0 80 0 0.116489
0 0 81 0 -0.0449708
0 0 82 0 -0.0153443
0 0 83 0 0.114896
0 0 84 0 -0.0917695
